name,addr,city,phone,type
the bacchanal,3570 las vegas blvd. s,las vegas,702/731-7525,only in las vegas
venetian,3713 w. sahara ave.,las vegas,702/876-4190,italian
betelnut,2030 union st.,san francisco,415/929-8855,asian
bistro roti,155 steuart st.,san francisco,415/495-6500,french
bix,56 gold st.,san francisco,415/433-6300,american
buca giovanni,800 greenwich st.,san francisco,415/776-7766,italian
cafe marimba,2317 chestnut st.,san francisco,415/776-1506,mexican/latin american/spanish
california culinary academy,625 polk st.,san francisco,415/771-3500,french
capp's corner,1600 powell st.,san francisco,415/989-2589,italian
carta,1772 market st.,san francisco,415/863-3516,american
chevys,4th and howard sts.,san francisco,415/543-8060,mexican/latin american/spanish
des alpes,732 broadway,san francisco,415/788-9900,french
fog city diner,1300 battery st.,san francisco,415/982-2000,american
garden court,market and new montgomery sts.,san francisco,415/546-5011,old san francisco
gaylord's,ghirardelli sq.,san francisco,415/771-8822,asian
greens,bldg. a fort mason,san francisco,415/771-6222,vegetarian
harbor village,4 embarcadero center,san francisco,415/781-8833,asian
harris',2100 van ness ave.,san francisco,415/673-1888,steak houses
harry denton's,161 steuart st.,san francisco,415/882-1333,american
hayes street grill,320 hayes st.,san francisco,415/863-5545,seafood
hong kong flower lounge,5322 geary blvd.,san francisco,415/668-8998,asian
hyde street bistro,1521 hyde st.,san francisco,415/441-7778,italian
il fornaio levi's plaza,1265 battery st.,san francisco,415/986-0100,italian
izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses
jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco
katia's,600 5th ave.,san francisco,415/668-9292,
kuleto's,221 powell st.,san francisco,415/397-7720,italian
le central,453 bush st.,san francisco,415/391-2233,french
le soleil,133 clement st.,san francisco,415/668-4848,asian
macarthur park,607 front st.,san francisco,415/398-5700,american
manora,3226 mission st.,san francisco,415/861-6224,asian
maykadeh,470 green st.,san francisco,415/362-8286,greek and middle eastern
mccormick & kuleto's,ghirardelli sq.,san francisco,415/929-1730,seafood
moose's,1652 stockton st.,san francisco,415/989-7800,mediterranean
north india,3131 webster st.,san francisco,415/931-1556,asian
one market,1 market st.,san francisco,415/777-5577,american
oritalia,1915 fillmore st.,san francisco,415/346-1333,italian
palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian
pane e vino,3011 steiner st.,san francisco,415/346-2111,italian
pastis,1015 battery st.,san francisco,415/391-2555,french
perry's,1944 union st.,san francisco,415/922-9022,american
r&g lounge,631 b kearny st.,san francisco,415/982-7877,or 415/982-3811 asian
rubicon,558 sacramento st.,san francisco,415/434-4100,american
rumpus,1 tillman pl.,san francisco,415/421-2300,american
sanppo,1702 post st.,san francisco,415/346-3486,asian
scala's bistro,432 powell st.,san francisco,415/395-8555,italian
south park cafe,108 south park,san francisco,415/495-7275,french
stars,150 redwood alley,san francisco,415/861-7827,american
stars cafe,500 van ness ave.,san francisco,415/861-4344,american
stoyanof's cafe,1240 9th ave.,san francisco,415/664-3664,greek and middle eastern
straits cafe,3300 geary blvd.,san francisco,415/668-1783,asian
suppenkuche,601 hayes st.,san francisco,415/252-9289,russian/german
the heights,3235 sacramento st.,san francisco,415/474-8890,french
ton kiang,3148 geary blvd.,san francisco,415/752-4440,asian
vivande ristorante,670 golden gate ave.,san francisco,415/673-9245,italian
yank sing,427 battery st.,san francisco,415/541-4949,asian
yoyo tsumami bistro,1611 post st.,san francisco,415/922-7788,french
zarzuela,2000 hyde st.,san francisco,415/346-0800,mexican/latin american/spanish
belvedere  the,9882 little santa monica blvd.,beverly hills,310-788-2306,pacific new wave
benita's frites,1433 third st. promenade,santa monica,310-458-2889,fast food
bistro 45,45 s. mentor ave.,pasadena,818-795-2478,californian
brighton coffee shop,9600 brighton way,beverly hills,310-276-7732,coffee shops
bristol farms market cafe,1570 rosecrans ave. s.,pasadena,310-643-5229,californian
bruno's,3838 centinela ave.,mar vista,310-397-5703,italian
cafe '50s,838 lincoln blvd.,venice,310-399-1955,american
cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave
cassell's,3266 w. sixth st.,la,213-480-8668,hamburgers
diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian
duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops
falafel king,1059 broxton ave.,westwood,310-208-4444,middle eastern
gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole
hollywood hills coffee shop,6145 franklin ave.,hollywood,213-467-7678,coffee shops
indo cafe,10428 1/2 national blvd.,la,310-815-1290,indonesian
jan's family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops
jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian
jody maroni's sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs
joe's,1023 abbot kinney blvd.,venice,310-399-5811,american (new)
john o'groats,10516 w. pico blvd.,west la,310-204-0692,coffee shops
johnny reb's southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul
kokomo cafe,6333 w. third st.,la,213-933-0773,american
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken
la salsa (la),22800 pch,malibu,310-456-6299,mexican
la serenata de garibaldi,1842 e. first,st. boyle hts.,213-265-2887,mexican/tex-mex
local nochol,30869 thousand oaks blvd.,westlake village,818-706-7706,health food
main course  the,10509 w. pico blvd.,rancho park,310-475-7564,american
martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american
maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american
michael's (los angeles),1147 third st.,santa monica,310-451-0843,californian
mo better meatty meat,7261 melrose ave.,la,213-935-5280,hamburgers
mulberry st.,17040 ventura blvd.,encino,818-906-8881,pizza
ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american
original pantry bakery,875 s. figueroa st. downtown,la,213-627-6879,diners
pho hoa,642 broadway,chinatown,213-626-5530,vietnamese
pink's famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs
r-23,923 e. third st.,los angeles,213-687-7178,japanese
rae's,2901 pico blvd.,santa monica,310-828-7937,diners
rubin's red hots,15322 ventura blvd.,encino,818-905-6515,hot dogs
russell's burgers,1198 pch,seal beach,310-596-9556,hamburgers
shiro,1505 mission st. s.,pasadena,818-799-4774,pacific new wave
sushi nozawa,11288 ventura blvd.,studio city,818-508-7017,japanese
sweet lady jane,8360 melrose ave.,la,213-653-7145,desserts
taiko,11677 san vicente blvd.,brentwood,310-207-7782,noodle shops
tommy's,2575 beverly blvd.,la,213-389-9060,hamburgers
uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners
water grill,544 s. grand ave.,los angeles,213-891-0900,seafood
zankou chicken,1415 e. colorado st.,glendale,818-244-1937,middle eastern
afghan kebab house,764 ninth ave.,new york city,212-307-1612,afghan
benny's burritos,93 ave. a,new york city,212-254-2054,mexican
cucina della fontana,368 bleecker st.,new york city,212-242-0636,italian
cucina di pesce,87 e. fourth st.,new york city,212-260-6800,seafood
elias corner,24-02 31st st.,queens,718-932-1510,greek
good enough to eat,483 amsterdam ave.,new york city,212-496-0163,american
il mulino,86 w. third st.,new york city,212-673-3783,italian
jackson diner,37-03 74th st.,queens,718-672-1232,indian
joe's shanghai,9 pell st.,queens,718-539-3838,chinese
kiev,117 second ave.,new york city,212-674-4040,ukrainian
kuruma zushi,2nd fl.,new york city,212-317-2802,japanese
la caridad,2199 broadway,new york city,212-874-2780,cuban
la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic)
lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai
lombardi's,32 spring st.,new york city,212-941-7994,pizza
marnie's noodle shop,466 hudson st.,new york city,212-741-3214,asian
menchanko-tei,39 w. 55th st.,new york city,212-247-1585,japanese
mitali east-west,296 bleecker st.,new york city,212-989-1367,indian
monsoon (ny),435 amsterdam ave.,new york city,212-580-8686,thai
nobu,105 hudson st.,new york city,212-219-0500,japanese
oyster bar,lower level,new york city,212-490-6650,seafood
palm too,840 second ave.,new york city,212-697-5198,steakhouses
peter luger steak house,178 broadway,brooklyn,718-387-7400,steakhouses
sam's noodle shop,411 third ave.,new york city,212-213-2288,chinese
sarabeth's,1295 madison ave.,new york city,212-410-7335,american
stick to your ribs,5-16 51st ave.,queens,718-937-3030,bbq
sushisay,38 e. 51st st.,new york city,212-755-1780,japanese
sylvia's,328 lenox ave.,new york city,212-996-0660,southern/soul
szechuan hunan cottage,1588 york ave.,new york city,212-535-5223,chinese
szechuan kitchen,1460 first ave.,new york city,212-249-4615,chinese
thai house cafe,151 hudson st.,new york city,212-334-1085,thai
veselka,144 second ave.,new york city,212-228-9682,ukrainian
westside cottage,689 ninth ave.,new york city,212-245-0800,chinese
windows on the world,107th fl.,new york city,212-524-7000,eclectic
wollensky's grill,205 e. 49th st.,new york city,212-753-0444,steakhouses
yama,122 e. 17th st.,new york city,212-475-0969,japanese
zarela,953 second ave.,new york city,212-644-6740,mexican
andre's french restaurant,401 s. 6th st.,las vegas,702-385-5016,french (classic)
buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental
buzio's in the rio,3700 w. flamingo rd.,las vegas,702-252-7697,seafood
emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood
hugo's cellar,202 e. fremont st.,las vegas,702-385-4011,continental
madame ching's,3300 las vegas blvd. s.,las vegas,702-894-7111,asian
mayflower cuisinier,4750 w. sahara ave.,las vegas,702-870-8432,chinese
michael's (las vegas),3595 las vegas blvd. s.,las vegas,702-737-7111,continental
monte carlo,3145 las vegas blvd. s.,las vegas,702-733-4524,french (new)
nicky blair's,3925 paradise rd.,las vegas,702-792-9900,italian
piero's restaurant,355 convention center dr.,las vegas,702-369-2305,italian
spago (las vegas),3500 las vegas blvd. s.,las vegas,702-369-6300,californian
steakhouse  the,128 e. fremont st.,las vegas,702-382-1600,steakhouses
stefano's,129 fremont st.,las vegas,702-385-7111,italian
sterling brunch,3645 las vegas blvd. s.,las vegas,702-739-4651,eclectic
tre visi,3799 las vegas blvd. s.,las vegas,702-891-7331,italian
103 west,103 w. paces ferry rd.,atlanta,404-233-5993,continental
alon's at the terrace,659 peachtree st.,atlanta,404-724-0444,sandwiches
baker's cajun cafe,1134 euclid ave.,atlanta,404-223-5039,cajun/creole
barbecue kitchen,1437 virginia ave.,atlanta,404-766-9906,bbq
bobby & june's kountry kitchen,375 14th st.,atlanta,404-876-3872,southern/soul
bradshaw's restaurant,2911 s. pharr court,atlanta,404-261-7015,southern/soul
brookhaven cafe,4274 peachtree rd.,atlanta,404-231-5907,vegetarian
cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food
canoe,4199 paces ferry rd.,atlanta,770-432-2663,american (new)
carey's corner,1215 powers ferry rd.,marietta,770-933-0909,hamburgers
chops,70 w. paces ferry rd.,atlanta,404-262-2675,steakhouses
chopstix,4279 roswell rd.,atlanta,404-255-4868,chinese
deacon burton's soulfood restaurant,1029 edgewood ave. se,atlanta,404-523-1929,southern/soul
eats,600 ponce de leon ave.,atlanta,404-888-9149,italian
flying biscuit  the,1655 mclendon ave.,atlanta,404-687-8888,eclectic
greenwood's,1087 green st.,roswell,770-992-5383,southern/soul
harold's barbecue,171 mcdonough blvd.,atlanta,404-627-9268,bbq
havana sandwich shop,2905 buford hwy.,atlanta,404-636-4094,cuban
indian delights,3675 satellite blvd.,duluth,100-813-8212,indian
la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish
lettuce souprise you (at),3525 mall blvd.,duluth,770-418-9969,cafeterias
majestic,1031 ponce de leon ave.,atlanta,404-875-0276,diners
my thai,1248 clairmont rd.,atlanta,404-636-4280,thai
palm  the (atlanta),3391 peachtree rd. ne,atlanta,404-814-1955,steakhouses
silver skillet  the,200 14th st. nw,atlanta,404-874-1388,coffee shops
soto,3330 piedmont rd.,atlanta,404-233-2005,japanese
veggieland,220 sandy springs circle,atlanta,404-231-3111,vegetarian
white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners
zab-e-lee,4837 old national hwy.,college park,404-768-2705,thai
bill's place,2315 clement st.,san francisco,415-221-5262,hamburgers
cafe flore,2298 market st.,san francisco,415-621-8579,californian
caffe greco,423 columbus ave.,san francisco,415-397-6261,continental
campo santo,240 columbus ave.,san francisco,415-433-9623,mexican
cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean
doidge's,2217 union st.,san francisco,415-921-2149,american
dottie's true blue cafe,522 jones st.,san francisco,415-885-2767,diners
dusit thai,3221 mission st.,san francisco,415-826-4639,thai
ebisu,1283 ninth ave.,san francisco,415-566-1770,japanese
hamburger mary's,1582 folsom st.,san francisco,415-626-1985,hamburgers
kelly's on trinity,333 bush st.,san francisco,415-362-4454,californian
la cumbre,515 valencia st.,san francisco,415-863-8205,mexican
la mediterranee,288 noe st.,san francisco,415-431-7210,mediterranean
la taqueria,2889 mission st.,san francisco,415-285-7117,mexican
mel's drive-in,3355 geary st.,san francisco,415-387-2244,hamburgers
mo's burgers,1322 grant st.,san francisco,415-788-3779,hamburgers
phnom penh cambodian restaurant,631 larkin st.,san francisco,415-775-5979,cambodian
roosevelt tamale parlor,2817 24th st.,san francisco,415-550-9213,mexican
sally's cafe & bakery,300 de haro st.,san francisco,415-626-6006,american
slanted door,584 valencia st.,san francisco,415-861-8032,vietnamese
tu lan,8 sixth st.,san francisco,415-626-0927,vietnamese
vicolo pizzeria,201 ivy st.,san francisco,415-863-2382,pizza
wa-ha-ka oaxaca mexican grill,2141 polk st.,san francisco,415-775-1055,mexican
